Position	Attack	Technic	Form	Kyu
Tachi waza	Ushiro katate dori kubi shime	Kote gaeshi		1
Tachi waza	Ushiro katate dori kubi shime	Shiho nage	Omote	1
Tachi waza	Ushiro katate dori kubi shime	Shiho nage	Ura	1
Tachi waza	Ushiro katate dori kubi shime	Juji garami		1
Tachi waza	Katate ryote dori	Sankyo	Omote	1
Tachi waza	Katate ryote dori	Sankyo	Ura	1
Tachi waza	Katate ryote dori	Yonkyo	Omote	1
Tachi waza	Katate ryote dori	Yonkyo	Ura	1
Tachi waza	Katate ryote dori	Kaiten nage		1
Tachi waza	Divers	Sumi otoshi		1
Tachi waza	Divers	Koshi nage		1
Tachi waza	Divers	Sokumen irimi nage		1
Suwari waza	Yokomen uchi	Kote gaeshi		1
Suwari waza	Shomen uchi	Gokyo		1
Hanmi handachi waza	Shomen uchi	Ikkyo	Omote	1
Hanmi handachi waza	Shomen uchi	Ikkyo	Ura	1
Hanmi handachi waza	Shomen uchi	Nikyo	Omote	1
Hanmi handachi waza	Shomen uchi	Nikyo	Ura	1
Hanmi handachi waza	Shomen uchi	Gokyo		1
Hanmi handachi waza	Katate dori	Nikyo	Omote	1
Hanmi handachi waza	Katate dori	Nikyo	Ura	1
