Position	Attack	Technique	Form	Kyu
Tachi waza	Ryote dori	Irimi nage		2 Kyu
Tachi waza	Ai hanmi katate dori	Koshi nage		2 Kyu
Tachi waza	Katate ryote dori	Irimi nage		2 Kyu
Tachi waza	Ushiro ryote dori	Juji garami		2 Kyu
Tachi waza	Ushiro ryote dori	Sokumen irimi nage		2 Kyu
Tachi waza	Chuudan tsuki	Ikkyo	Omote	2 Kyu
Tachi waza	Chuudan tsuki	Ikkyo	Ura	2 Kyu
Tachi waza	Chuudan tsuki	Irimi nage		2 Kyu
Tachi waza	Jodan tsuki	Hiji kime osae		2 Kyu
Tachi waza	Ushiro ryo hiji dori	Ikkyo	Omote	2 Kyu
Tachi waza	Ushiro ryo hiji dori	Ikkyo	Ura	2 Kyu
Tachi waza	Mae ryo kata dori	Sokumen irimi nage		2 Kyu
Suwari waza	Ryo kata dori	Ikkyo	Omote	2 Kyu
Suwari waza	Ryo kata dori	Ikkyo	Ura	2 Kyu
Suwari waza	Ryo kata dori	Nikyo	Omote	2 Kyu
Suwari waza	Ryo kata dori	Nikyo	Ura	2 Kyu
Suwari waza	Yokomen uchi	Ikkyo	Omote	2 Kyu
Suwari waza	Yokomen uchi	Ikkyo	Ura	2 Kyu
Suwari waza	Yokomen uchi	Nikyo	Omote	2 Kyu
Suwari waza	Yokomen uchi	Nikyo	Ura	2 Kyu
Suwari waza	Yokomen uchi	Sankyo	Omote	2 Kyu
Suwari waza	Yokomen uchi	Sankyo	Ura	2 Kyu
Suwari waza	Yokomen uchi	Yonkyo	Omote	2 Kyu
Suwari waza	Yokomen uchi	Yonkyo	Ura	2 Kyu
Suwari waza	Yokomen uchi	Gokyo		2 Kyu
Suwari waza	Yokomen uchi	Irimi nage		2 Kyu
Suwari waza	Mae ryo kata dori	Sankyo	Omote	2 Kyu
Suwari waza	Mae ryo kata dori	Sankyo	Ura	2 Kyu
Suwari waza	Ryote dori	Kote gaeshi		2 Kyu
Suwari waza	Ryote dori	Irimi nage		2 Kyu
Hanmi handachi waza	Shomen uchi	Kote gaeshi		2 Kyu
Hanmi handachi waza	Ryote dori	Shiho nage	Omote	2 Kyu
Hanmi handachi waza	Ryote dori	Shiho nage	Ura	2 Kyu
